id,number,number2,date,contact_id,contact_name,amount,status,created_at,updated_at,myinvois_action,myinvois_document_uuid,myinvois_document_status,issued_at,validated_at,synced_at
11155,2601370,,2026-03-09,,,970.0,ready,2026-03-07 00:39:56,2026-03-07 00:39:56,NORMAL,,,,,2026-03-10T14:00:58.745834
11163,2601372,,2026-03-09,,,422.43,ready,2026-03-10 00:38:43,2026-03-10 00:38:43,EXTERNAL,,,,,2026-03-10T14:00:58.745834
11164,2601373,,2026-03-09,,,374.0,ready,2026-03-10 00:38:43,2026-03-10 00:38:43,EXTERNAL,,,,,2026-03-10T14:00:58.745834
11165,2601374,,2026-03-09,,,222.59,ready,2026-03-10 00:38:44,2026-03-10 00:38:44,EXTERNAL,,,,,2026-03-10T14:00:58.745834
11166,2601375,,2026-03-09,,,187.59,ready,2026-03-10 00:38:45,2026-03-10 00:38:45,EXTERNAL,,,,,2026-03-10T14:00:58.745834
11167,2601376,,2026-03-09,,,222.59,ready,2026-03-10 00:38:45,2026-03-10 00:38:46,EXTERNAL,,,,,2026-03-10T14:00:58.745834
11168,2601377,,2026-03-09,,,374.0,ready,2026-03-10 00:38:46,2026-03-10 00:38:46,EXTERNAL,,,,,2026-03-10T14:00:58.745834
11169,2601378,,2026-03-09,,,222.59,ready,2026-03-10 00:38:47,2026-03-10 00:38:47,EXTERNAL,,,,,2026-03-10T14:00:58.745834
11170,2601379,,2026-03-09,,,222.59,ready,2026-03-10 00:38:47,2026-03-10 00:38:48,EXTERNAL,,,,,2026-03-10T14:00:58.745834
11171,2601380,,2026-03-09,,,357.0,ready,2026-03-10 00:38:48,2026-03-10 00:38:48,NORMAL,,,,,2026-03-10T14:00:58.745834
11172,2601381,,2026-03-09,,,298.08,ready,2026-03-10 00:38:49,2026-03-10 00:38:49,EXTERNAL,,,,,2026-03-10T14:00:58.745834
11173,2601382,,2026-03-09,,,498.95,ready,2026-03-10 00:38:49,2026-03-10 00:38:50,EXTERNAL,,,,,2026-03-10T14:00:58.745834
