id,number,number2,date,contact_id,contact_name,amount,status,created_at,updated_at,myinvois_document_uuid,myinvois_document_status,issued_at,validated_at,synced_at
11155,2601370,,2026-03-09,,,970.0,ready,2026-03-07 00:39:56,2026-03-07 00:39:56,,,,,2026-03-10T11:30:58.188187
11163,2601372,,2026-03-09,,,422.43,ready,2026-03-10 00:38:43,2026-03-10 00:38:43,,,,,2026-03-10T11:30:58.188187
11164,2601373,,2026-03-09,,,374.0,ready,2026-03-10 00:38:43,2026-03-10 00:38:43,,,,,2026-03-10T11:30:58.188187
11165,2601374,,2026-03-09,,,222.59,ready,2026-03-10 00:38:44,2026-03-10 00:38:44,,,,,2026-03-10T11:30:58.188187
11166,2601375,,2026-03-09,,,187.59,ready,2026-03-10 00:38:45,2026-03-10 00:38:45,,,,,2026-03-10T11:30:58.188187
11167,2601376,,2026-03-09,,,222.59,ready,2026-03-10 00:38:45,2026-03-10 00:38:46,,,,,2026-03-10T11:30:58.188187
11168,2601377,,2026-03-09,,,374.0,ready,2026-03-10 00:38:46,2026-03-10 00:38:46,,,,,2026-03-10T11:30:58.188187
11169,2601378,,2026-03-09,,,222.59,ready,2026-03-10 00:38:47,2026-03-10 00:38:47,,,,,2026-03-10T11:30:58.188187
11170,2601379,,2026-03-09,,,222.59,ready,2026-03-10 00:38:47,2026-03-10 00:38:48,,,,,2026-03-10T11:30:58.188187
11171,2601380,,2026-03-09,,,357.0,ready,2026-03-10 00:38:48,2026-03-10 00:38:48,,,,,2026-03-10T11:30:58.188187
11172,2601381,,2026-03-09,,,298.08,ready,2026-03-10 00:38:49,2026-03-10 00:38:49,,,,,2026-03-10T11:30:58.188187
11173,2601382,,2026-03-09,,,498.95,ready,2026-03-10 00:38:49,2026-03-10 00:38:50,,,,,2026-03-10T11:30:58.188187
11174,2601383,,2026-03-09,,,373.96,ready,2026-03-10 00:38:50,2026-03-10 00:38:50,,,,,2026-03-10T11:30:58.188187
11175,2601384,,2026-03-09,,,438.0,ready,2026-03-10 00:38:51,2026-03-10 00:38:51,,,,,2026-03-10T11:30:58.188187
11176,2601385,,2026-03-09,,,383.0,ready,2026-03-10 00:38:51,2026-03-10 00:38:51,,,,,2026-03-10T11:30:58.188187
11177,2601386,,2026-03-09,,,2002.0,ready,2026-03-10 00:38:52,2026-03-10 00:38:52,,,,,2026-03-10T11:30:58.188187
11178,2601387,,2026-03-09,,,1857.0,ready,2026-03-10 00:38:53,2026-03-10 00:38:54,,,,,2026-03-10T11:30:58.188187
11179,2601388,,2026-03-09,,,3133.0,ready,2026-03-10 00:38:55,2026-03-10 00:38:55,,,,,2026-03-10T11:30:58.188187
11180,2601389,,2026-03-09,,,1075.0,ready,2026-03-10 00:38:56,2026-03-10 00:38:56,,,,,2026-03-10T11:30:58.188187
11181,2601390,,2026-03-09,,,648.0,ready,2026-03-10 00:38:57,2026-03-10 00:38:57,,,,,2026-03-10T11:30:58.188187
11182,2601391,,2026-03-09,,,1810.0,ready,2026-03-10 00:38:58,2026-03-10 00:38:58,,,,,2026-03-10T11:30:58.188187
11183,2601392,,2026-03-09,,,88.0,ready,2026-03-10 00:38:59,2026-03-10 00:38:59,,,,,2026-03-10T11:30:58.453624
11184,2601393,,2026-03-09,,,694.5,ready,2026-03-10 00:39:00,2026-03-10 00:39:00,,,,,2026-03-10T11:30:58.453624
11185,2601394,,2026-03-09,,,11.0,ready,2026-03-10 00:39:01,2026-03-10 00:39:01,,,,,2026-03-10T11:30:58.453624
11186,2601395,,2026-03-09,,,1212.5,ready,2026-03-10 00:39:02,2026-03-10 00:39:02,,,,,2026-03-10T11:30:58.453624
11187,2601396,,2026-03-09,,,2698.0,ready,2026-03-10 00:39:03,2026-03-10 00:39:03,,,,,2026-03-10T11:30:58.453624
11188,2601397,,2026-03-09,,,2748.0,ready,2026-03-10 00:39:04,2026-03-10 00:39:05,,,,,2026-03-10T11:30:58.453624
11189,2601398,,2026-03-09,,,3102.0,ready,2026-03-10 00:39:06,2026-03-10 00:39:07,,,,,2026-03-10T11:30:58.453624
11190,2601399,,2026-03-09,,,2496.0,ready,2026-03-10 00:39:08,2026-03-10 00:39:08,,,,,2026-03-10T11:30:58.453624
11191,2601400,,2026-03-09,,,1807.0,ready,2026-03-10 00:39:09,2026-03-10 00:39:09,,,,,2026-03-10T11:30:58.453624
11192,2601401,,2026-03-09,,,1235.0,ready,2026-03-10 00:39:10,2026-03-10 00:39:11,,,,,2026-03-10T11:30:58.453624
11193,2601402,,2026-03-09,,,1633.0,ready,2026-03-10 00:39:11,2026-03-10 00:39:12,,,,,2026-03-10T11:30:58.453624
11194,2601403,,2026-03-09,,,966.0,ready,2026-03-10 00:39:13,2026-03-10 00:39:13,,,,,2026-03-10T11:30:58.453624
11195,2601404,,2026-03-09,,,4816.0,ready,2026-03-10 00:39:14,2026-03-10 00:39:14,,,,,2026-03-10T11:30:58.453624
11196,2601405,,2026-03-09,,,239.0,ready,2026-03-10 00:39:16,2026-03-10 00:39:16,,,,,2026-03-10T11:30:58.453624
11197,2601406,,2026-03-09,,,1728.0,ready,2026-03-10 00:39:16,2026-03-10 00:39:17,,,,,2026-03-10T11:30:58.453624
11198,2601407,,2026-03-09,,,732.0,ready,2026-03-10 00:39:18,2026-03-10 00:39:18,,,,,2026-03-10T11:30:58.453624
11199,2601408,,2026-03-09,,,3232.0,ready,2026-03-10 00:39:18,2026-03-10 00:39:19,,,,,2026-03-10T11:30:58.453624
11200,2601409,,2026-03-09,,,224.0,ready,2026-03-10 00:39:20,2026-03-10 00:39:20,,,,,2026-03-10T11:30:58.453624
11201,2601410,,2026-03-09,,,3076.0,ready,2026-03-10 00:39:21,2026-03-10 00:39:21,,,,,2026-03-10T11:30:58.453624
11202,2601411,,2026-03-09,,,379.5,ready,2026-03-10 00:39:23,2026-03-10 00:39:23,,,,,2026-03-10T11:30:58.453624
11203,2601412,,2026-03-09,,,273.5,ready,2026-03-10 00:39:23,2026-03-10 00:39:24,,,,,2026-03-10T11:30:58.453624
11204,2601413,,2026-03-09,,,80.85,ready,2026-03-10 00:39:24,2026-03-10 00:39:25,,,,,2026-03-10T11:30:58.453624
11205,2601414,,2026-03-09,,,1324.0,ready,2026-03-10 00:39:25,2026-03-10 00:39:26,,,,,2026-03-10T11:30:58.453624
11206,2601415,,2026-03-09,,,5285.0,ready,2026-03-10 00:39:27,2026-03-10 00:39:27,,,,,2026-03-10T11:30:58.453624
11207,2601416,,2026-03-09,,,358.2,ready,2026-03-10 00:39:29,2026-03-10 00:39:29,,,,,2026-03-10T11:30:58.453624
11208,2601417,,2026-03-09,,,3166.0,ready,2026-03-10 00:39:30,2026-03-10 00:39:30,,,,,2026-03-10T11:30:58.453624
11209,2601418,,2026-03-09,,,1015.2,ready,2026-03-10 00:39:31,2026-03-10 00:39:32,,,,,2026-03-10T11:30:58.453624
11210,2601419,,2026-03-09,,,2156.0,ready,2026-03-10 00:39:33,2026-03-10 00:39:33,,,,,2026-03-10T11:30:58.453624
11211,2601420,,2026-03-09,,,1131.0,ready,2026-03-10 00:39:34,2026-03-10 00:39:34,,,,,2026-03-10T11:30:58.453624
11212,2601421,,2026-03-09,,,758.5,ready,2026-03-10 00:39:35,2026-03-10 00:39:36,,,,,2026-03-10T11:30:58.453624
11213,2601422,,2026-03-09,,,275.0,ready,2026-03-10 00:39:37,2026-03-10 00:39:37,,,,,2026-03-10T11:30:58.453624
11214,2601423,,2026-03-09,,,222.59,ready,2026-03-10 00:39:38,2026-03-10 00:39:38,,,,,2026-03-10T11:30:58.453624
11215,2601424,,2026-03-09,,,244.0,ready,2026-03-10 00:39:38,2026-03-10 00:39:39,,,,,2026-03-10T11:30:58.453624
11216,2601425,,2026-03-09,,,60.0,ready,2026-03-10 00:39:39,2026-03-10 00:39:40,,,,,2026-03-10T11:30:58.453624
11217,2601426,,2026-03-09,,,1032.0,ready,2026-03-10 00:39:40,2026-03-10 00:39:40,,,,,2026-03-10T11:30:58.453624
11218,2601427,,2026-03-09,,,1434.0,ready,2026-03-10 00:39:41,2026-03-10 00:39:41,,,,,2026-03-10T11:30:58.453624
11219,SB76651,,2026-03-09,,,80.0,ready,2026-03-10 00:40:14,2026-03-10 00:40:14,,,,,2026-03-10T11:30:58.453624
11220,TJ22235,,2026-03-09,,,60.0,ready,2026-03-10 00:40:15,2026-03-10 00:40:15,,,,,2026-03-10T11:30:58.453624
11221,TJ22236,,2026-03-09,,,96.0,ready,2026-03-10 00:40:15,2026-03-10 00:40:15,,,,,2026-03-10T11:30:58.453624
11222,TJ22237,,2026-03-09,,,90.0,ready,2026-03-10 00:40:16,2026-03-10 00:40:16,,,,,2026-03-10T11:30:58.453624
11136,2601351,,2026-03-06,,,1844.0,ready,2026-03-07 00:39:36,2026-03-07 00:39:37,,,,,2026-03-10T11:30:58.188187
11137,2601352,,2026-03-06,,,508.0,ready,2026-03-07 00:39:38,2026-03-07 00:39:38,,,,,2026-03-10T11:30:58.188187
11138,2601353,,2026-03-06,,,970.0,ready,2026-03-07 00:39:39,2026-03-07 00:39:39,,,,,2026-03-10T11:30:58.188187
11139,2601354,,2026-03-06,,,3240.0,ready,2026-03-07 00:39:40,2026-03-07 00:39:40,,,,,2026-03-10T11:30:58.188187
11140,2601355,,2026-03-06,,,156.0,ready,2026-03-07 00:39:41,2026-03-07 00:39:41,,,,,2026-03-10T11:30:58.188187
11141,2601356,,2026-03-06,,,75.5,ready,2026-03-07 00:39:41,2026-03-07 00:39:42,,,,,2026-03-10T11:30:58.188187
11142,2601357,,2026-03-06,,,47.0,ready,2026-03-07 00:39:42,2026-03-07 00:39:42,,,,,2026-03-10T11:30:58.188187
11143,2601358,,2026-03-06,,,428.0,ready,2026-03-07 00:39:43,2026-03-07 00:39:43,,,,,2026-03-10T11:30:58.188187
